"","ego","q1.profession.df.vq","q2a.currently.working.vq","q2b.how.long.work.vq","q2c.when.leave.work.vq","q3.rate.econ.conditions.vq","q4.rate.env.conditions.vq","q5.rate.comm.agencies.vq","q6a.attended.GADNR.mtg.vq","q6b.GADNR.mtg.topic.vq","q6c.GADNR.why.not.mtg.vq","q7a.primary.dock.vq","q7b.active.dock.relationship.vq","q7c.time.worked.w.dock.vq","q7d.ended.dock.relationship.vq","q8a.observed.decline.harvest.vq","q8b.harvest.decline.location.vq","q8c.still.fish.decline.locations.vq","q9a.harvest.multiple.sp.vq","q9b.sell.to.single.dock.vq","q9c.earned.per.species.vq","q9d.why.sell.multiple.docks.vq","q10.docks.difficulty.selling.vq","q11a.change.docks.vq","q11b.change.docks.explain.vq","q11c.change.docks.freq.vq","q12a.decline.in.catch.vq","q12b.explain.decline.vq","q12c.which.spp.decline.vq","q12d.severity.decline.vq","q13a.decline.affect.business.vq","q13b.severity.decline.business.vq","q14.agency.mtg.attend.vq","q15.folks.contact.gvmt.vq","q15b.name.folks.contact.gvmt.vq","q15c.name.agencies.contacted.vq","q15d.reasons.agency.contact.vq","q16a.attendance.mtg.beneficial.vq","q16b.attendance.mtg.expl.vq","q17.agencies.helpful.vq","q18.agencies.not.helpful.vq","q19.probs.agencies.could.solve.vq","q20a.should.orgs.do.more.vq","q20b.how.should.orgs.help.vq","q21.reg.change.open.water.May15.vq","q22.reg.change.close.water.Dec31.vq","q23.reg.change.open.sounds.vq","q24.blackgill.change.fishing.vq","q25a.blackgill.concern.dockmates.vq","q25b.blackgill.concern.dockmates.strength.vq","q26a.seen.blackgill.vq","q26b.where.seen.blackgill.vq"
"41","Villarruel, Daniela","Dock and fish house","Yes","23","N/A","Poor","Not pressing","Fair","No","N/A","Open Response","St. Simons Dock","No","N/A","20","Yes","Between St. Simons Island and Sapelo Island","Yes","No","N/A","N/A","N/A","No","No","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Not severe","No","N/A","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Department of Natural Resources","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Very unlikely","Very unlikely","Likely","Significantly","No","N/A","Yes","Between St. Simons Island and Jekyll Island"
"42","Mcginn, Gadge","Shellfish gatherer","Yes","38","N/A","Very Poor","Pressing","Fair","No","N/A","Open Response","South GA Dock","Yes","8","N/A","No","N/A","N/A","No","N/A","N/A","N/A","Yes","Yes","Open response","Rarely (change dock 1 time per 9 months","Yes","Harvest decline explanation","Declining species","Severe","No","N/A","Other (please insert)","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Neither likely nor unlikely","Unlikely","Very unlikely","Very insignificantly","No","N/A","No","N/A"
"43","Jones, Devin","Dock and fish house","No","N/A","Open Response","Fair","Very pressing","Very Poor","Yes","Open Response","N/A","St. Simons Dock","Yes","0","N/A","No","N/A","N/A","No","N/A","N/A","N/A","Yes","Yes","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Southern Shrimp Alliance","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Likely","Unlikely","Likely","Very significantly","Yes","Not very strong","No","N/A"
"44","Ramos, Kayla","Commercial fisherman","Yes","29","N/A","Good","Pressing","Fair","Yes","Open Response","N/A","St. Simons Dock","No","N/A","12","Yes","South of Jekyll Island","No","No","N/A","N/A","N/A","No","Yes","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Very not severe","No","N/A","Georgia Sea Grant","Yes","Name of dock/fisher","Southern Shrimp Alliance","Reasons for contacting agency","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Very unlikely","Very unlikely","Neither likely nor unlikely","Neither significant or insignificant","No","N/A","Yes","North of Savannah"
"45","Hajek, J","Commercial fisherman","No","N/A","Open Response","Very good","Moderately pressing","Fair","No","N/A","Open Response","Savannah Dock","No","N/A","14","No","N/A","N/A","Yes","No","N/A","Open response","No","Yes","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","Yes","Neither","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Other (please insert)","Problems agencies could help solve","No","N/A","Very unlikely","Very unlikely","Very likely","Very significantly","No","N/A","Yes","South of Jekyll Island"
"46","Thrower-Dorsey, Dashawn","Dock and fish house","Yes","34","N/A","Poor","Pressing","Good","Yes","Open Response","N/A","Derrien Dock","Yes","19","N/A","Yes","Between St. Simons Island and Sapelo Island","No","No","N/A","N/A","N/A","Yes","Yes","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Not severe","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Southern Shrimp Alliance","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Very significantly","No","N/A","Yes","Between St. Simons Island and Jekyll Island"
"47","Gamez-Santana, Keshla","Commercial fisherman","No","N/A","Open Response","Fair","Pressing","Fair","Yes","Open Response","N/A","Jekyll Dock","No","N/A","1","No","N/A","N/A","No","N/A","N/A","N/A","No","Yes","Open response","Rarely (change dock 1 time per 9 months","No","N/A","N/A","N/A","No","N/A","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Neither likely nor unlikely","Likely","Significantly","No","N/A","No","N/A"
"48","Hope, Elli","Commercial crabbers or dealer","No","N/A","Open Response","Very Poor","Moderately pressing","Good","No","N/A","Open Response","Derrien Dock","No","N/A","17","Yes","Between St. Simons Island and Jekyll Island","No","Yes","Yes","Open response","N/A","No","No","Open response","Rarely (change dock 1 time per 9 months","Yes","Harvest decline explanation","Declining species","Very severe","No","N/A","Georgia Sea Grant","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Very likely","Unlikely","Very likely","Very insignificantly","No","N/A","No","N/A"
"49","Davis, Maurice","Commercial fisherman","Yes","30","N/A","Poor","Pressing","Very good","Yes","Open Response","N/A","Jekyll Dock","Yes","1","N/A","Yes","South of Jekyll Island","Yes","No","N/A","N/A","N/A","Yes","Yes","Open response","Rarely (change dock 1 time per 9 months","No","N/A","N/A","N/A","Yes","Severe","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Very likely","Likely","Insignificantly","Yes","Not very strong","Yes","North of Savannah"
"50","Garcia, Marco","Commercial fisherman","Yes","7","N/A","Fair","Moderately pressing","Very good","No","N/A","Open Response","St. Simons Dock","Yes","13","N/A","Yes","Between Sapelo Island and Savannah","No","No","N/A","N/A","N/A","Yes","No","Open response","Rarely (change dock 1 time per 9 months","No","N/A","N/A","N/A","Yes","Neither","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Very unlikely","Very likely","Likely","Very significantly","No","N/A","No","N/A"
"51","Boyd, Craig","Dock and fish house","No","N/A","Open Response","Poor","Moderately pressing","Fair","Yes","Open Response","N/A","Jekyll Dock","Yes","4","N/A","Yes","Between St. Simons Island and Sapelo Island","Yes","Yes","No","N/A","Open response","No","No","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Not severe","No","N/A","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Southern Shrimp Alliance","Problems agencies could help solve","No","N/A","Very likely","Likely","Very unlikely","Very insignificantly","Yes","Very strong","Yes","Between St. Simons Island and Jekyll Island"
"52","Owusu Ansah, Ciara","Dock and fish house","Yes","5","N/A","Good","Very pressing","Good","Yes","Open Response","N/A","South GA Dock","Yes","17","N/A","Yes","North of Savannah","No","No","N/A","N/A","N/A","Yes","No","Open response","Very often (change dock 1 or more times/month)","Yes","Harvest decline explanation","Declining species","Severe","Yes","Not severe","Other (please insert)","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Very likely","Very unlikely","Likely","Neither significant or insignificant","Yes","Not very strong","No","N/A"
"53","Hernandez, Christian","Commercial crabbers or dealer","No","N/A","Open Response","Very Poor","Not pressing","Very good","Yes","Open Response","N/A","South GA Dock","No","N/A","11","Yes","Between St. Simons Island and Jekyll Island","Yes","No","N/A","N/A","N/A","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","Yes","Very not severe","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Sea Grant","Southern Shrimp Alliance","Problems agencies could help solve","No","N/A","Very unlikely","Very unlikely","Unlikely","Neither significant or insignificant","No","N/A","No","N/A"
"54","Geissler, Franki","Commercial fisherman","Yes","35","N/A","Very Poor","Moderately pressing","Poor","Yes","Open Response","N/A","South GA Dock","Yes","9","N/A","Yes","South of Jekyll Island","No","Yes","Yes","Open response","N/A","Yes","No","Open response","Very often (change dock 1 or more times/month)","No","N/A","N/A","N/A","No","N/A","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Very unlikely","Very unlikely","Unlikely","Significantly","Yes","Very strong","Yes","North of Savannah"
"55","Villagomez, Vanessa","Dock and fish house","Yes","0","N/A","Poor","Not pressing","Fair","No","N/A","Open Response","Jekyll Dock","Yes","2","N/A","Yes","Between Sapelo Island and Savannah","Yes","No","N/A","N/A","N/A","Yes","No","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","Yes","Neither","Georgia Sea Grant","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Other (please insert)","Southern Shrimp Alliance","Problems agencies could help solve","Yes","Help suggestions","Likely","Neither likely nor unlikely","Neither likely nor unlikely","Very insignificantly","No","N/A","Yes","South of Jekyll Island"
"56","Ibarra, Jeanette","Commercial fisherman","No","N/A","Open Response","Very good","Very pressing","Fair","No","N/A","Open Response","Derrien Dock","Yes","15","N/A","No","N/A","N/A","No","N/A","N/A","N/A","Yes","No","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","Yes","Very severe","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Southern Shrimp Alliance","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Very likely","Very unlikely","Insignificantly","No","N/A","Yes","Between St. Simons Island and Jekyll Island"
"57","Miller, Kaleigh","Commercial crabbers or dealer","No","N/A","Open Response","Very Poor","Pressing","Very Poor","Yes","Open Response","N/A","Piedmont Dock","Yes","21","N/A","No","N/A","N/A","Yes","No","N/A","Open response","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","Yes","Not severe","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Sea Grant","Southern Shrimp Alliance","Problems agencies could help solve","No","N/A","Likely","Very unlikely","Likely","Insignificantly","Yes","Very strong","No","N/A"
"58","Asmerom, Yazmine","Shellfish gatherer","No","N/A","Open Response","Good","Pressing","Poor","No","N/A","Open Response","South GA Dock","Yes","22","N/A","No","N/A","N/A","Yes","Yes","Open response","N/A","No","Yes","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","Yes","Very not severe","Other (please insert)","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Unlikely","Very likely","Very likely","Very significantly","No","N/A","Yes","Between St. Simons Island and Sapelo Island"
"59","Gallegos, Brandon","Commercial fisherman","Yes","25","N/A","Fair","Slightly pressing","Fair","No","N/A","Open Response","St. Simons Dock","No","N/A","8","No","N/A","N/A","No","N/A","N/A","N/A","Yes","Yes","Open response","Often (change dock 1 time/3 months)","Yes","Harvest decline explanation","Declining species","Very not severe","Yes","Severe","Georgia Shrimping Association (Wild Georgia Shrimp)","Yes","Name of dock/fisher","Southern Shrimp Alliance","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Unlikely","Very unlikely","Very likely","Very significantly","Yes","Somewhat strong","Yes","North of Savannah"
"60","Newman, Cooper","Commercial crabbers or dealer","Yes","2","N/A","Very Poor","Slightly pressing","Poor","Yes","Open Response","N/A","Piedmont Dock","No","N/A","22","Yes","Between Sapelo Island and Savannah","No","Yes","Yes","Open response","N/A","Yes","No","Open response","Rarely (change dock 1 time per 9 months","Yes","Harvest decline explanation","Declining species","Neither","Yes","Neither","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","Yes","Help suggestions","Very likely","Neither likely nor unlikely","Neither likely nor unlikely","Insignificantly","Yes","Very strong","No","N/A"
"61","Tinnin, Desarae","Commercial fisherman","Yes","8","N/A","Very good","Very pressing","Very good","No","N/A","Open Response","Brunswick Dock","Yes","24","N/A","Yes","Between St. Simons Island and Sapelo Island","Yes","Yes","No","N/A","Open response","No","No","Open response","Often (change dock 1 time/3 months)","No","N/A","N/A","N/A","No","N/A","Other (please insert)","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Very likely","Neither likely nor unlikely","Likely","Very insignificantly","Yes","Not very strong","No","N/A"
"62","Gonzalez, Michael","Shellfish gatherer","No","N/A","Open Response","Fair","Not pressing","Fair","No","N/A","Open Response","Savannah Dock","Yes","18","N/A","Yes","North of Savannah","No","Yes","Yes","Open response","N/A","Yes","Yes","Open response","Often (change dock 1 time/3 months)","Yes","Harvest decline explanation","Declining species","Severe","Yes","Not severe","Other (please insert)","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Sea Grant","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","No","N/A","Unlikely","Very likely","Likely","Significantly","No","N/A","No","N/A"
"63","Heiser, Susan","Commercial crabbers or dealer","Yes","20","N/A","Fair","Pressing","Very Poor","No","N/A","Open Response","Jekyll Dock","Yes","20","N/A","Yes","Between St. Simons Island and Jekyll Island","Yes","Yes","No","N/A","Open response","No","Yes","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Very severe","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Likely","Very unlikely","Very significantly","No","N/A","No","N/A"
"64","Milton-Brewer, Jayda","Dock and fish house","Yes","40","N/A","Fair","Pressing","Very good","No","N/A","Open Response","St. Simons Dock","No","N/A","16","Yes","South of Jekyll Island","No","Yes","Yes","Open response","N/A","Yes","Yes","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","Yes","Severe","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","No","N/A","Other (please insert)","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Likely","Neither likely nor unlikely","Very unlikely","Very significantly","No","N/A","Yes","North of Savannah"
"65","Vazquez Herrera, Desideria","Shellfish gatherer","No","N/A","Open Response","Fair","Slightly pressing","Poor","No","N/A","Open Response","Jekyll Dock","No","N/A","24","Yes","Between Sapelo Island and Savannah","Yes","Yes","No","N/A","Open response","No","Yes","Open response","Often (change dock 1 time/3 months)","Yes","Harvest decline explanation","Declining species","Neither","Yes","Neither","Southern Shrimp Alliance","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Very unlikely","Unlikely","Neither likely nor unlikely","Significantly","No","N/A","No","N/A"
"66","Sibley, Catalina","Commercial fisherman","Yes","24","N/A","Fair","Moderately pressing","Good","Yes","Open Response","N/A","Brunswick Dock","Yes","12","N/A","No","N/A","N/A","Yes","Yes","Open response","N/A","No","Yes","Open response","Very often (change dock 1 or more times/month)","No","N/A","N/A","N/A","Yes","Very severe","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Southern Shrimp Alliance","Georgia Department of Natural Resources","Problems agencies could help solve","Yes","Help suggestions","Very likely","Unlikely","Unlikely","Very significantly","No","N/A","No","N/A"
"67","Jones, Brandon","Commercial crabbers or dealer","Yes","27","N/A","Good","Slightly pressing","Very Poor","Yes","Open Response","N/A","Brunswick Dock","No","N/A","20","Yes","North of Savannah","Yes","No","N/A","N/A","N/A","Yes","No","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Severe","No","N/A","Other (please insert)","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Very likely","Unlikely","Very unlikely","Neither significant or insignificant","Yes","Not very strong","No","N/A"
"68","Gonzales, Alexandrya","Shellfish gatherer","Yes","36","N/A","Good","Slightly pressing","Very Poor","No","N/A","Open Response","Piedmont Dock","No","N/A","15","Yes","Between St. Simons Island and Jekyll Island","No","No","N/A","N/A","N/A","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Very severe","No","N/A","Southern Shrimp Alliance","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Other (please insert)","Problems agencies could help solve","No","N/A","Likely","Very likely","Very unlikely","Very significantly","Yes","Somewhat strong","Yes","Between St. Simons Island and Sapelo Island"
"69","Izrailev, Megan","Commercial fisherman","No","N/A","Open Response","Poor","Very pressing","Very Poor","No","N/A","Open Response","Piedmont Dock","No","N/A","6","No","N/A","N/A","Yes","No","N/A","Open response","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","No","N/A","N/A","N/A","Yes","Severe","Other (please insert)","Yes","Name of dock/fisher","Southern Shrimp Alliance","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Likely","Very likely","Likely","Very significantly","No","N/A","Yes","North of Savannah"
"70","Gordon, Mohamed","Commercial fisherman","Yes","3","N/A","Very Poor","Moderately pressing","Fair","Yes","Open Response","N/A","South GA Dock","Yes","7","N/A","No","N/A","N/A","Yes","Yes","Open response","N/A","No","No","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Neither","No","N/A","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Very unlikely","Very unlikely","Very unlikely","Very significantly","Yes","Not very strong","No","N/A"
"71","Mendoza-Estrada, Maria","Commercial fisherman","No","N/A","Open Response","Poor","Not pressing","Fair","Yes","Open Response","N/A","Piedmont Dock","Yes","16","N/A","No","N/A","N/A","No","N/A","N/A","N/A","Yes","No","Open response","Rarely (change dock 1 time per 9 months","Yes","Harvest decline explanation","Declining species","Not severe","Yes","Very severe","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Southern Shrimp Alliance","Problems agencies could help solve","No","N/A","Unlikely","Very unlikely","Very likely","Insignificantly","No","N/A","Yes","Between St. Simons Island and Jekyll Island"
"72","Shackelford, Matthew","Commercial fisherman","Yes","37","N/A","Good","Slightly pressing","Fair","Yes","Open Response","N/A","Savannah Dock","Yes","19","N/A","Yes","North of Savannah","No","Yes","Yes","Open response","N/A","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Severe","Yes","Not severe","Georgia Shrimping Association (Wild Georgia Shrimp)","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","No","N/A","Very likely","Very likely","Likely","Significantly","Yes","Very strong","No","N/A"
"73","Vaz, Marvin","Shellfish gatherer","Yes","17","N/A","Very good","Not pressing","Very good","No","N/A","Open Response","South GA Dock","Yes","3","N/A","No","N/A","N/A","Yes","No","N/A","Open response","Yes","No","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","No","N/A","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Southern Shrimp Alliance","Other (please insert)","Problems agencies could help solve","No","N/A","Likely","Very likely","Very likely","Very significantly","Yes","Not very strong","No","N/A"
"74","Leyva, Jazmin","Shellfish gatherer","Yes","19","N/A","Good","Moderately pressing","Very good","No","N/A","Open Response","Derrien Dock","No","N/A","17","Yes","South of Jekyll Island","No","No","N/A","N/A","N/A","Yes","Yes","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Very not severe","No","N/A","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","No","N/A","Unlikely","Very likely","Very unlikely","Very significantly","Yes","Somewhat strong","No","N/A"
"75","Delants, Thomas","Commercial crabbers or dealer","No","N/A","Open Response","Fair","Not pressing","Fair","Yes","Open Response","N/A","Piedmont Dock","Yes","1","N/A","No","N/A","N/A","Yes","No","N/A","Open response","No","Yes","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Neither","Yes","Neither","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Very likely","Very unlikely","Unlikely","Very insignificantly","No","N/A","Yes","South of Jekyll Island"
"76","Ison, Dashanae","Commercial crabbers or dealer","No","N/A","Open Response","Good","Pressing","Very Poor","Yes","Open Response","N/A","Brunswick Dock","Yes","13","N/A","No","N/A","N/A","No","N/A","N/A","N/A","Yes","No","Open response","Rarely (change dock 1 time per 9 months","No","N/A","N/A","N/A","Yes","Very severe","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Department of Natural Resources","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Southern Shrimp Alliance","Problems agencies could help solve","Yes","Help suggestions","Very likely","Likely","Neither likely nor unlikely","Very insignificantly","No","N/A","Yes","Between St. Simons Island and Jekyll Island"
"77","Martinez, Kevin","Commercial fisherman","No","N/A","Open Response","Very Poor","Not pressing","Good","No","N/A","Open Response","Derrien Dock","No","N/A","0","No","N/A","N/A","Yes","No","N/A","Open response","Yes","Yes","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Severe","No","N/A","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Very likely","Likely","Unlikely","Insignificantly","Yes","Somewhat strong","No","N/A"
"78","Reilly, Julia","Shellfish gatherer","Yes","13","N/A","Poor","Very pressing","Very good","Yes","Open Response","N/A","Savannah Dock","No","N/A","7","Yes","Between St. Simons Island and Jekyll Island","No","No","N/A","N/A","N/A","Yes","Yes","Open response","Very often (change dock 1 or more times/month)","Yes","Harvest decline explanation","Declining species","Very severe","No","N/A","Southern Shrimp Alliance","Yes","Name of dock/fisher","Georgia Shrimping Association (Wild Georgia Shrimp)","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Very unlikely","Unlikely","Likely","Very insignificantly","Yes","Very strong","Yes","Between St. Simons Island and Sapelo Island"
"79","Prejean, Dezmen","Commercial fisherman","Yes","11","N/A","Fair","Pressing","Fair","Yes","Open Response","N/A","Brunswick Dock","No","N/A","11","No","N/A","N/A","Yes","No","N/A","Open response","No","No","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","No","N/A","Georgia Sea Grant","Yes","Name of dock/fisher","Southern Shrimp Alliance","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Other (please insert)","Problems agencies could help solve","No","N/A","Very unlikely","Neither likely nor unlikely","Very unlikely","Insignificantly","Yes","Not very strong","No","N/A"
"80","Sanchez, Victor","Commercial fisherman","Yes","39","N/A","Poor","Slightly pressing","Very Poor","Yes","Open Response","N/A","South GA Dock","Yes","9","N/A","Yes","Between Sapelo Island and Savannah","No","No","N/A","N/A","N/A","Yes","Yes","Open response","Often (change dock 1 time/3 months)","Yes","Harvest decline explanation","Declining species","Neither","No","N/A","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Likely","Neither likely nor unlikely","Neither likely nor unlikely","Neither significant or insignificant","Yes","Somewhat strong","Yes","South of Jekyll Island"
"81","Kindsfather, Zachariah","Commercial fisherman","Yes","10","N/A","Very good","Moderately pressing","Poor","Yes","Open Response","N/A","Piedmont Dock","No","N/A","3","Yes","Between St. Simons Island and Sapelo Island","Yes","No","N/A","N/A","N/A","No","Yes","Open response","Rarely (change dock 1 time per 9 months","No","N/A","N/A","N/A","Yes","Very severe","Georgia Department of Natural Resources","Yes","Name of dock/fisher","Georgia Department of Natural Resources","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Other (please insert)","Problems agencies could help solve","No","N/A","Very unlikely","Unlikely","Very unlikely","Insignificantly","No","N/A","No","N/A"
"82","Kassahun, Jonathan","Commercial fisherman","Yes","23","N/A","Good","Slightly pressing","Good","No","N/A","Open Response","Piedmont Dock","Yes","15","N/A","Yes","North of Savannah","No","No","N/A","N/A","N/A","Yes","Yes","Open response","Very rarely (change dock less than 1 time/year","Yes","Harvest decline explanation","Declining species","Severe","Yes","Not severe","Other (please insert)","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Neither likely nor unlikely","Neither likely nor unlikely","Very unlikely","Neither significant or insignificant","Yes","Not very strong","Yes","Between Sapelo Island and Savannah"
