"","ego","alter","alter_type","q1.years.known.eiq","q2.years.worked.with.eiq","q3a.wk.relationship.eiq","q3b.wk.relationship.other.eiq","q4a.work.interaction.freq.eiq","q4b.personal.interaction.freq.eiq","q5a.likely.discuss.env.issues.eiq","q5b.likely.discuss.env.issues.exp.eiq","q6a.likely.discuss.econ.issues.eiq","q6b.likely.discuss.econ.issues.exp.eiq","q7a.likely.discuss.comm.issues.eiq","q7b.likely.discuss.comm.issues.exp.eiq","q8a.likely.discuss.gvmtresources.issues.eiq","q8b.likely.discuss.gvmtresources.issues.exp.eiq","q9a.likely.discuss.fedagency.issues.eiq","q9b.likely.discuss.fedagency.issues.exp.eiq","q10.difficulty.selling.catch.eiq","q11.indiv.contact.agency.eiq","q12a.related.indiv.eiq","q12b.related.descriptor.eiq","q12c.related.descriptor.other.eiq","q13.positive.wk.relationship.eiq","q14.wk.relationship.quality.eiq","q15.sust.industry.contribution.eiq","q16.trust.level.eiq","q17.willingness.to.wk.with.eiq"
"222","Thrower-Dorsey, Dashawn","Villarruel, Daniela","Shared-Profession",28,26,"Colleague","N/A","Bi-weekly (every other week)","Bi-weekly (every other week)",3,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Parent","N/A","Neither agree nor disagree",9,"Neither agree nor disagree",9,10
"223","Thrower-Dorsey, Dashawn","Silas, Tavion","Shared-Profession",10,5,"Colleague","N/A","Bi-weekly (every other week)","A few times per month",8,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly agree",2,"Strongly disagree",0,8
"224","Thrower-Dorsey, Dashawn","Rohrbouck, Caleb","Shared-Profession",8,7,"Colleague","N/A","A few times per week","Weekly",5,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Neither agree nor disagree",2,"Disagree",3,8
"225","Thrower-Dorsey, Dashawn","Villagomez, Vanessa","Shared-Profession",17,2,"Colleague","N/A","Monthly","A few times per month",1,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Spouse or partner","N/A","Strongly disagree",0,"Disagree",9,2
"226","Gamez-Santana, Keshla","Mendoza-Estrada, Maria","In-Network",11,6,"Other (please specify)","Professional relationship explanation","Less than once per month","Monthly",3,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Neither agree nor disagree",6,"Strongly disagree",4,10
"227","Gamez-Santana, Keshla","Wells, Jasmine","Out-Network",25,25,"Employer","N/A","Less than once per month","A few times per week",8,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Strongly disagree",5,"Strongly disagree",5,10
"228","Gamez-Santana, Keshla","Lopez, Paige","Shared-Profession",13,5,"Colleague","N/A","Daily","A few times per week",6,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Agree",9,"Agree",2,6
"229","Gamez-Santana, Keshla","Martin, Cameron","Shared-Profession",8,5,"Colleague","N/A","Weekly","Daily",5,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",7,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Other (please specify)","Explain","Strongly disagree",9,"Disagree",6,1
"230","Gamez-Santana, Keshla","Quintana, Dion","Shared-Profession",28,10,"Colleague","N/A","A few times per month","Less than once per month",6,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Spouse or partner","N/A","Neither agree nor disagree",2,"Neither agree nor disagree",6,10
"231","Gamez-Santana, Keshla","Lopez, Sarahi","Shared-Profession",15,8,"Colleague","N/A","Bi-weekly (every other week)","A few times per month",4,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly disagree",5,"Strongly disagree",1,2
"232","Gamez-Santana, Keshla","Adams, Dior","Shared-Profession",20,19,"Colleague","N/A","A few times per week","A few times per month",5,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Neither agree nor disagree",4,"Strongly disagree",2,3
"233","Gamez-Santana, Keshla","Hastings, Savanah","Shared-Profession",11,3,"Colleague","N/A","Bi-weekly (every other week)","Bi-weekly (every other week)",5,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly disagree",5,"Disagree",3,2
"234","Hope, Elli","Chacon, Julissa","In-Network",29,26,"Employee","N/A","A few times per month","Less than once per month",4,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Child","N/A","Strongly agree",3,"Agree",4,4
"235","Hope, Elli","Frantz, Alejandra","In-Network",16,0,"Other (please specify)","Professional relationship explanation","Bi-weekly (every other week)","Weekly",10,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Agree",1,"Agree",8,2
"236","Hope, Elli","Fine, Brandon","Shared-Profession",3,1,"Colleague","N/A","Monthly","Less than once per month",7,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly disagree",8,"Strongly agree",0,3
"237","Hope, Elli","Wilson, Sydney","Shared-Profession",30,0,"Colleague","N/A","Daily","Weekly",4,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Disagree",4,"Strongly agree",7,4
"238","Hope, Elli","Ison, Dashanae","Shared-Profession",19,3,"Colleague","N/A","Less than once per month","A few times per week",6,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Child","N/A","Neither agree nor disagree",8,"Strongly disagree",4,4
"239","Hope, Elli","Knight, Atienne","Shared-Profession",7,3,"Colleague","N/A","A few times per month","Bi-weekly (every other week)",0,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Strongly agree",9,"Disagree",7,1
"240","Davis, Maurice","Perez, Karen","Shared-Profession",20,20,"Colleague","N/A","Less than once per month","Bi-weekly (every other week)",6,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Cousin","N/A","Agree",9,"Strongly agree",10,6
"241","Davis, Maurice","Stafford, Connor","Shared-Profession",5,2,"Colleague","N/A","Daily","Weekly",10,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Strongly agree",1,"Strongly disagree",6,3
"242","Davis, Maurice","Quintana, Dion","Shared-Profession",28,21,"Colleague","N/A","Daily","Daily",3,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","No","No","Yes","Cousin","N/A","Disagree",2,"Neither agree nor disagree",7,0
"243","Garcia, Marco","Lapointe, Niavis","Out-Network",5,2,"Employee","N/A","Monthly","Monthly",0,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","No","Yes","Other (please specify)","Explain","Strongly disagree",2,"Agree",4,5
"244","Garcia, Marco","Payan, Bianca","Shared-Profession",9,7,"Colleague","N/A","A few times per month","Weekly",5,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Agree",8,"Strongly agree",9,3
"245","Garcia, Marco","Chacon, Julissa","Shared-Profession",22,10,"Colleague","N/A","Monthly","A few times per month",8,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Disagree",3,"Agree",6,2
"246","Garcia, Marco","Keil, Ashley","Shared-Profession",17,11,"Colleague","N/A","A few times per week","Weekly",10,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Agree",1,"Disagree",2,3
"247","Garcia, Marco","Wampler, Aaron","Shared-Profession",18,9,"Colleague","N/A","Monthly","A few times per week",8,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Disagree",7,"Agree",5,1
"248","Garcia, Marco","Cooper, Fatima","Shared-Profession",19,19,"Colleague","N/A","Less than once per month","Bi-weekly (every other week)",8,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly agree",2,"Strongly agree",1,0
"249","Boyd, Craig","Silas, Tavion","Shared-Profession",28,19,"Colleague","N/A","Monthly","Monthly",4,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",3,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Cousin","N/A","Agree",0,"Agree",7,1
"250","Owusu Ansah, Ciara","Pierce, John","In-Network",3,1,"Other (please specify)","Professional relationship explanation","Bi-weekly (every other week)","Less than once per month",9,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly agree",2,"Agree",1,10
"251","Owusu Ansah, Ciara","Sturgeon, Kevin","Shared-Profession",4,3,"Colleague","N/A","Less than once per month","A few times per week",4,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Parent","N/A","Neither agree nor disagree",0,"Agree",6,0
"252","Owusu Ansah, Ciara","Thomas, Aimis","Shared-Profession",24,3,"Colleague","N/A","A few times per month","Less than once per month",9,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Disagree",8,"Strongly disagree",6,7
"253","Owusu Ansah, Ciara","Martinez, Marco","Shared-Profession",22,6,"Colleague","N/A","Weekly","Daily",2,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Disagree",6,"Strongly disagree",1,8
"254","Owusu Ansah, Ciara","Thrower-Dorsey, Dashawn","Shared-Profession",29,8,"Colleague","N/A","Bi-weekly (every other week)","Monthly",2,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",7,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Strongly disagree",9,"Strongly disagree",9,7
"255","Owusu Ansah, Ciara","Burgos, William","Shared-Profession",17,13,"Colleague","N/A","A few times per week","Weekly",7,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Neither agree nor disagree",8,"Disagree",7,7
"256","Owusu Ansah, Ciara","Bergenthal, Kendall","Shared-Profession",12,10,"Colleague","N/A","Bi-weekly (every other week)","Daily",4,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Cousin","N/A","Agree",1,"Strongly disagree",9,2
"257","Owusu Ansah, Ciara","Smith II, Shirley","Shared-Profession",20,10,"Colleague","N/A","A few times per month","A few times per month",2,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Cousin","N/A","Strongly agree",2,"Strongly agree",0,6
"258","Hernandez, Christian","Davis, Josiah","In-Network",10,4,"Employee","N/A","Bi-weekly (every other week)","Daily",2,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Child","N/A","Strongly agree",8,"Strongly agree",4,9
"259","Hernandez, Christian","Perez, Lizeth","Shared-Profession",28,3,"Colleague","N/A","A few times per week","Monthly",9,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Child","N/A","Disagree",3,"Strongly agree",5,9
"260","Hernandez, Christian","Bugarin, Brenna","Shared-Profession",29,2,"Colleague","N/A","Less than once per month","Less than once per month",7,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Cousin","N/A","Disagree",1,"Neither agree nor disagree",1,7
"261","Hernandez, Christian","Mitchell, Tya","Shared-Profession",30,19,"Colleague","N/A","Weekly","Less than once per month",4,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Parent","N/A","Disagree",6,"Disagree",3,6
"262","Hernandez, Christian","Barbosa, Adrienn","Shared-Profession",10,5,"Colleague","N/A","Monthly","Less than once per month",3,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",3,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Parent","N/A","Agree",9,"Strongly agree",2,2
"263","Geissler, Franki","Marks, Jared","Out-Network",19,0,"Employer","N/A","Monthly","A few times per week",8,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Strongly disagree",7,"Strongly agree",8,8
"264","Geissler, Franki","Mcconnaughhay, Robert","Out-Network",21,18,"Employee","N/A","A few times per month","Bi-weekly (every other week)",9,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Cousin","N/A","Neither agree nor disagree",3,"Neither agree nor disagree",10,7
"265","Geissler, Franki","Lee, Emilee","Out-Network",9,5,"Other (please specify)","Professional relationship explanation","A few times per week","Weekly",0,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Cousin","N/A","Agree",5,"Strongly disagree",6,8
"266","Geissler, Franki","Lee, Steven","Out-Network",22,22,"Employer","N/A","Monthly","Weekly",6,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Strongly agree",2,"Neither agree nor disagree",2,5
"267","Geissler, Franki","Powell, Vashti","Shared-Profession",5,3,"Colleague","N/A","Monthly","Weekly",10,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly agree",7,"Disagree",6,8
"268","Geissler, Franki","Frantz, Alejandra","Shared-Profession",16,7,"Colleague","N/A","Bi-weekly (every other week)","Bi-weekly (every other week)",10,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","No","No","Yes","Child","N/A","Strongly disagree",3,"Neither agree nor disagree",5,1
"269","Geissler, Franki","Gallegos, Brandon","Shared-Profession",28,11,"Colleague","N/A","Daily","Daily",1,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly disagree",6,"Agree",3,8
"270","Geissler, Franki","Mangino, Erfan","Shared-Profession",3,1,"Colleague","N/A","Weekly","A few times per month",4,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Strongly agree",1,"Disagree",4,8
"271","Geissler, Franki","Morales-Rocha, Anabel","Shared-Profession",25,1,"Colleague","N/A","A few times per month","Monthly",9,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Strongly disagree",5,"Agree",6,9
"272","Villagomez, Vanessa","Fernandez, Joel","Shared-Profession",6,5,"Colleague","N/A","Bi-weekly (every other week)","A few times per month",2,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Cousin","N/A","Neither agree nor disagree",5,"Strongly disagree",1,6
"273","Villagomez, Vanessa","Hankins, Trenton","Shared-Profession",26,18,"Colleague","N/A","Weekly","Daily",10,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",3,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Agree",3,"Agree",3,3
"274","Ibarra, Jeanette","Lopez, Sarahi","In-Network",29,21,"Other (please specify)","Professional relationship explanation","Bi-weekly (every other week)","Weekly",3,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Child","N/A","Disagree",1,"Strongly disagree",7,7
"275","Ibarra, Jeanette","Mmorosa, Anthony","In-Network",22,5,"Employer","N/A","A few times per month","Bi-weekly (every other week)",4,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","No","No","Yes","Other (please specify)","Explain","Disagree",9,"Strongly agree",4,5
"276","Ibarra, Jeanette","Cabral, Travis","Shared-Profession",13,3,"Colleague","N/A","Monthly","Monthly",9,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Agree",9,"Strongly agree",0,2
"277","Ibarra, Jeanette","Gamez-Santana, Keshla","Shared-Profession",21,1,"Colleague","N/A","A few times per month","Daily",8,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Child","N/A","Agree",2,"Strongly disagree",6,1
"278","Ibarra, Jeanette","Steine, Kassidy","Shared-Profession",22,21,"Colleague","N/A","Bi-weekly (every other week)","Less than once per month",3,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",3,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Disagree",10,"Agree",0,4
"279","Ibarra, Jeanette","Radebaugh, Angel","Shared-Profession",24,14,"Colleague","N/A","Weekly","Bi-weekly (every other week)",5,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Strongly disagree",7,"Strongly disagree",7,8
"280","Miller, Kaleigh","Ramos, Kayla","In-Network",27,26,"Other (please specify)","Professional relationship explanation","Weekly","A few times per month",6,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Agree",5,"Disagree",9,9
"281","Asmerom, Yazmine","Cruz, Ilysia","In-Network",14,1,"Employer","N/A","Weekly","Monthly",4,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Spouse or partner","N/A","Agree",4,"Disagree",8,9
"282","Asmerom, Yazmine","Pierce, John","Shared-Profession",10,3,"Colleague","N/A","Weekly","Monthly",5,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Neither agree nor disagree",5,"Strongly agree",2,8
"283","Asmerom, Yazmine","Leyva, Jazmin","Shared-Profession",26,18,"Colleague","N/A","A few times per week","Less than once per month",4,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly disagree",3,"Strongly agree",2,3
"284","Asmerom, Yazmine","Malone, John","Shared-Profession",5,1,"Colleague","N/A","A few times per month","Bi-weekly (every other week)",2,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Other (please specify)","Explain","Disagree",1,"Agree",3,7
"285","Asmerom, Yazmine","Kyger, Casey","Shared-Profession",27,24,"Colleague","N/A","A few times per month","A few times per week",9,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Neither agree nor disagree",3,"Strongly disagree",8,8
"286","Gallegos, Brandon","Marks, Jared","Out-Network",21,5,"Other (please specify)","Professional relationship explanation","A few times per week","Bi-weekly (every other week)",8,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Disagree",4,"Strongly disagree",2,9
"287","Gallegos, Brandon","Moncallo, Jaime","Shared-Profession",15,9,"Colleague","N/A","Daily","A few times per week",4,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Disagree",8,"Strongly agree",1,8
"288","Gallegos, Brandon","Radebaugh, Angel","Shared-Profession",23,21,"Colleague","N/A","Weekly","Weekly",2,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Neither agree nor disagree",1,"Strongly agree",5,6
"289","Newman, Cooper","Bugarin, Brenna","Shared-Profession",15,0,"Colleague","N/A","A few times per month","Less than once per month",1,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Cousin","N/A","Neither agree nor disagree",4,"Neither agree nor disagree",3,7
"290","Newman, Cooper","Robbs, Moses","Shared-Profession",29,12,"Colleague","N/A","Bi-weekly (every other week)","A few times per month",5,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","No","No","Yes","Spouse or partner","N/A","Neither agree nor disagree",9,"Neither agree nor disagree",9,9
